Start at 3431
112120.00,13.03,35.55,-15.00,degress
112306.00,11.00,18.00,-15.00,Direct
113488.00,13.03,37.53,-12.00,degress
113666.00,11.00,19.00,-12.00,Direct
115845.00,15.40,33.58,-13.00,degress
116029.00,13.00,17.00,-13.00,Direct
117208.00,14.22,33.58,-16.00,degress
117384.00,12.00,17.00,-16.00,Direct
119562.00,14.22,33.58,-15.00,degress
119746.00,12.00,17.00,-15.00,Direct
120929.00,13.03,33.58,-15.00,degress
121105.00,11.00,17.00,-15.00,Direct
123534.00,14.22,33.58,-14.00,degress
123718.00,12.00,17.00,-14.00,Direct
124901.00,14.22,33.58,-15.00,degress
125077.00,12.00,17.00,-15.00,Direct
126254.00,13.03,33.58,-15.00,degress
126437.00,11.00,17.00,-15.00,Direct
127619.00,14.22,33.58,-15.00,degress
127795.00,12.00,17.00,-15.00,Direct
128974.00,14.22,33.58,-15.00,degress
129158.00,12.00,17.00,-15.00,Direct
131342.00,14.22,33.58,-15.00,degress
131517.00,12.00,17.00,-15.00,Direct
132694.00,14.22,33.58,-15.00,degress
132879.00,12.00,17.00,-15.00,Direct
134062.00,14.22,33.58,-14.00,degress
134239.00,12.00,17.00,-14.00,Direct
135415.00,14.22,35.55,-12.00,degress
135600.00,12.00,18.00,-12.00,Direct
136783.00,13.03,33.58,-14.00,degress
136961.00,11.00,17.00,-14.00,Direct
138138.00,14.22,35.55,-14.00,degress
138327.00,12.00,18.00,-14.00,Direct
139509.00,14.22,33.58,-16.00,degress
139685.00,12.00,17.00,-16.00,Direct
141113.00,15.40,31.60,-15.00,degress
141296.00,13.00,16.00,-15.00,Direct
142480.00,14.22,33.58,-14.00,degress
142656.00,12.00,17.00,-14.00,Direct
143834.00,13.03,33.58,-12.00,degress
144019.00,11.00,17.00,-12.00,Direct
145203.00,14.22,31.60,-13.00,degress
145379.00,12.00,16.00,-13.00,Direct
146556.00,15.40,31.60,-10.00,degress
146742.00,13.00,16.00,-10.00,Direct
150930.00,14.22,33.58,-14.00,degress
151111.00,12.00,17.00,-14.00,Direct
152289.00,7.11,27.65,-8.00,degress
152474.00,6.00,14.00,-8.00,Direct
153658.00,7.11,19.75,0.00,degress
153834.00,6.00,10.00,0.00,Direct
155011.00,5.92,19.75,-1.00,degress
155195.00,5.00,10.00,-1.00,Direct
156379.00,5.92,19.75,0.00,degress
156556.00,5.00,10.00,0.00,Direct
157732.00,4.74,13.82,1.00,degress
157918.00,4.00,7.00,1.00,Direct
160103.00,7.11,5.93,0.00,degress
160280.00,6.00,3.00,0.00,Direct
161459.00,7.11,9.88,-2.00,degress
161644.00,6.00,5.00,-2.00,Direct
162832.00,8.30,15.80,-6.00,degress
163009.00,7.00,8.00,-6.00,Direct
164188.00,15.40,31.60,-15.00,degress
164372.00,13.00,16.00,-15.00,Direct
165555.00,14.22,25.68,-7.00,degress
165732.00,12.00,13.00,-7.00,Direct
167911.00,14.22,31.60,-14.00,degress
168095.00,12.00,16.00,-14.00,Direct
171282.00,14.22,31.60,-15.00,degress
171459.00,12.00,16.00,-15.00,Direct
172638.00,17.77,35.55,-15.00,degress
172829.00,15.00,18.00,-15.00,Direct
174013.00,15.40,35.55,-15.00,degress
174187.00,13.00,18.00,-15.00,Direct
175366.00,15.40,33.58,-14.00,degress
175551.00,13.00,17.00,-14.00,Direct
176734.00,21.33,31.60,-19.00,degress
176911.00,18.00,16.00,-19.00,Direct
178087.00,16.59,37.53,-29.00,degress
178273.00,14.00,19.00,-29.00,Direct
179456.00,15.40,33.58,-16.00,degress
179632.00,13.00,17.00,-16.00,Direct
181810.00,16.59,33.58,-16.00,degress
181994.00,14.00,17.00,-16.00,Direct
183178.00,16.59,33.58,-16.00,degress
183355.00,14.00,17.00,-16.00,Direct
187538.00,15.40,33.58,-16.00,degress
187746.00,13.00,17.00,-16.00,Direct
188929.00,16.59,33.58,-17.00,degress
189104.00,14.00,17.00,-17.00,Direct
190280.00,15.40,37.53,-17.00,degress
190465.00,13.00,19.00,-17.00,Direct
